EVENT_TYPE,Total Damage,Mean Damage,Count
Hurricane (Typhoon),43666729000.0,346561341.26984125,126
Wildfire,9100214220.0,6136354.834794336,1483
Flash Flood,5785994120.0,383483.1733828208,15088
Tornado,4848769290.0,850064.742286115,5704
High Wind,4659885760.0,274903.29538080347,16951
Storm Surge/Tide,4292133740.0,16898164.33070866,254
Hail,3997898840.0,121553.62845849802,32890
Flood,2710225120.0,284031.138126179,9542
Tropical Storm,2131823650.0,1474290.214384509,1446
Drought,1637506910.0,86116.58743097555,19015
Thunderstorm Wind,1428594800.0,19389.18023887079,73680
Frost/Freeze,505152620.0,209172.92753623187,2415
Strong Wind,489072380.0,115811.59838977031,4223
Hurricane,340000000.0,22666666.666666668,15
Debris Flow,213962270.0,330188.68827160494,648
Winter Storm,182071900.0,16493.51390524504,11039
Extreme Cold/Wind Chill,153835800.0,44512.67361111111,3456
Cold/Wind Chill,98352500.0,49473.088531187124,1988
Ice Storm,78444500.0,72768.55287569574,1078
Blizzard,76815500.0,37379.80535279805,2055
